                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                 2.3003,                 4.1529,                 3.1033,                0.72249,                      1,                  0.995,                  0.597,                 1.7621,                 3.7295,                 2.5603,             0.00041275,             0.00041275,             0.00041275
                     78,                 2.2299,                 4.1302,                 3.1515,                0.72249,                      1,                  0.995,                  0.597,                 1.7621,                 3.7295,                 2.5603,             0.00039625,             0.00039625,             0.00039625
                     79,                 2.3734,                 3.9667,                 3.2105,                0.71327,                      1,                  0.995,                 0.4975,                 2.0627,                 3.2957,                 2.7556,             0.00037974,             0.00037974,             0.00037974
                     80,                 2.3934,                 3.7853,                 3.1306,                0.71327,                      1,                  0.995,                 0.4975,                 2.0627,                 3.2957,                 2.7556,             0.00036324,             0.00036324,             0.00036324
                     81,                  2.154,                 3.8239,                 3.0533,                0.59714,                      1,                  0.995,                  0.398,                 2.3592,                 2.8983,                 3.0721,             0.00034674,             0.00034674,             0.00034674
                     82,                 2.3908,                  4.167,                 3.2065,                0.59714,                      1,                  0.995,                  0.398,                 2.3592,                 2.8983,                 3.0721,             0.00033023,             0.00033023,             0.00033023
                     83,                 2.2307,                 4.2201,                 3.1059,                0.59714,                      1,                  0.995,                  0.398,                 2.3592,                 2.8983,                 3.0721,             0.00031373,             0.00031373,             0.00031373
                     84,                 2.3251,                 4.4021,                 3.1049,                0.68413,                      1,                  0.995,                  0.398,                 2.3763,                 3.0238,                  3.069,             0.00029723,             0.00029723,             0.00029723
                     85,                 2.4649,                 4.0239,                 3.1543,                0.68413,                      1,                  0.995,                  0.398,                 2.3763,                 3.0238,                  3.069,             0.00028072,             0.00028072,             0.00028072
                     86,                 2.1529,                 3.5054,                      3,                0.68413,                      1,                  0.995,                  0.398,                 2.3763,                 3.0238,                  3.069,             0.00026422,             0.00026422,             0.00026422
                     87,                 2.3705,                 3.9751,                 3.2091,                0.74493,                      1,                  0.995,                0.34825,                 2.2488,                 3.1317,                  2.997,             0.00024772,             0.00024772,             0.00024772
                     88,                 2.2871,                 3.5603,                 3.0992,                0.74493,                      1,                  0.995,                0.34825,                 2.2488,                 3.1317,                  2.997,             0.00023121,             0.00023121,             0.00023121
                     89,                 2.1346,                 3.5931,                 3.0129,                0.70663,                      1,                  0.995,                0.46433,                 1.9854,                  3.355,                 2.8328,             0.00021471,             0.00021471,             0.00021471
                     90,                 2.2886,                 4.2097,                  3.094,                0.70663,                      1,                  0.995,                0.46433,                 1.9854,                  3.355,                 2.8328,             0.00019821,             0.00019821,             0.00019821
                     91,                 1.8077,                 5.6942,                 2.8809,                0.70663,                      1,                  0.995,                0.46433,                 1.9854,                  3.355,                 2.8328,              0.0001817,              0.0001817,              0.0001817
                     92,                 1.8276,                 5.5133,                 2.9986,                0.78559,                      1,                  0.995,                 0.4975,                 1.7745,                 3.5553,                 2.7346,              0.0001652,              0.0001652,              0.0001652
                     93,                 1.9228,                 5.3103,                 2.9455,                0.78559,                      1,                  0.995,                 0.4975,                 1.7745,                 3.5553,                 2.7346,              0.0001487,              0.0001487,              0.0001487
                     94,                 1.9363,                 5.7013,                 3.1108,                0.78559,                      1,                  0.995,                 0.4975,                 1.7745,                 3.5553,                 2.7346,             0.00013219,             0.00013219,             0.00013219
                     95,                 1.9665,                 5.5362,                 2.9314,                0.83822,                      1,                  0.995,                0.46433,                 1.7029,                 3.6464,                 2.7184,             0.00011569,             0.00011569,             0.00011569
                     96,                 1.8799,                 5.5044,                 3.0732,                0.83822,                      1,                  0.995,                0.46433,                 1.7029,                 3.6464,                 2.7184,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                 1.7353,                 5.3594,                 2.8125,                0.82327,                      1,                  0.995,                0.46433,                 1.7478,                 3.6978,                 2.7637,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                  1.844,                 5.7873,                 3.0063,                0.82327,                      1,                  0.995,                0.46433,                 1.7478,                 3.6978,                 2.7637,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                 1.9086,                 5.4034,                 2.9156,                0.82327,                      1,                  0.995,                0.46433,                 1.7478,                 3.6978,                 2.7637,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                  1.826,                 5.3297,                 2.9174,                0.81875,                      1,                  0.995,                0.46765,                 1.7763,                  3.597,                 2.7867,             3.3173e-05,             3.3173e-05,             3.3173e-05
