                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
80,0.73514,0.48317,1.0506,0.81627,0.62431,0.67297,0.52224,0.8253,0.93249,0.98025,0.0099218,0.0099218,0.0099218
81,0.72544,0.46667,1.0471,0.80425,0.63302,0.62426,0.47442,0.9998,0.82983,1.095,0.0099208,0.0099208,0.0099208
82,0.72974,0.47502,1.0433,0.88252,0.59117,0.67797,0.53251,0.90886,0.8019,1.0219,0.0099198,0.0099198,0.0099198
83,0.72235,0.46862,1.0446,0.50411,0.70751,0.64371,0.5487,0.74646,0.82883,0.97127,0.0099188,0.0099188,0.0099188
84,0.71627,0.46894,1.0443,0.56559,0.8808,0.67343,0.54387,0.8254,0.86256,1.0232,0.0099178,0.0099178,0.0099178
85,0.71979,0.46697,1.0426,0.54723,0.57681,0.64621,0.54935,0.71952,0.92847,0.94292,0.0099168,0.0099168,0.0099168
86,0.71564,0.46928,1.0444,0.75788,0.64986,0.65184,0.53284,0.75115,0.81305,0.96837,0.0099159,0.0099159,0.0099159
87,0.71634,0.46101,1.045,0.54408,0.65445,0.67597,0.56026,0.77075,0.82436,0.96159,0.0099149,0.0099149,0.0099149
88,0.70721,0.45666,1.041,0.76,0.62324,0.69619,0.56453,0.84014,0.8075,0.99734,0.0099139,0.0099139,0.0099139
89,0.70885,0.47024,1.0386,0.72893,0.91454,0.86967,0.72144,0.74954,0.63138,0.97462,0.0099129,0.0099129,0.0099129
AVERAGE value,1.248075,1.95367,1.44935,0.36848,0.947095,0.641945,0.448035,1.13132,2.08204,1.18136,0.0065898,0.0065898,0.0065898
